17:39:01.581 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2806] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@b521bb: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:01.583 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2807] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:08.638 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2807] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:08.638 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2807] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@101252a: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:08.639 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2808] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:15.671 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2808] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:15.671 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2808] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@125fc9a: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:15.672 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2809] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:22.727 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2809] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:22.727 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2809] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@48b85d: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:22.727 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2810] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:29.770 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2810] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:29.770 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2810] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@d2de3b: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:29.771 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2811] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:36.825 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2811] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:36.825 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2811] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1ae00e: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:36.825 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2812] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:43.875 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2812] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:43.875 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2812] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@b4e496: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:43.875 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2813] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:50.916 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2813] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:50.916 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2813] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@c5c974: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:50.916 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2814] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:39:57.972 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2814] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:39:57.973 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2814] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1f8ab93: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:39:57.974 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2815] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:05.026 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2815] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:05.026 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2815] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@10e5248: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:05.026 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2816] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:12.077 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2816] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:12.077 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2816] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1025524: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:12.078 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2817] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:19.128 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2817] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:19.128 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2817] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1d3aa74: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:19.128 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2818] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:26.165 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2818] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:26.165 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2818] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@27bc11: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:26.167 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2819] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:33.227 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2819] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:33.227 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2819] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1412a6c: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:33.228 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2820] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:40.278 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2820] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:40.278 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2820] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1fa9871: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:40.278 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2821] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:47.345 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2821] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:47.345 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2821] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@eb8ec3: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:47.345 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2822] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:40:54.395 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2822] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:40:54.395 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2822] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@199e1f2: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:40:54.395 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2823] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:41:01.445 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2823] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:41:01.445 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2823] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@fb0b0c: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:41:01.446 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2824] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:41:08.488 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2824] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:41:08.488 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2824] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1cffe9b: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:41:08.489 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2825] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:41:15.532 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2825] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:41:15.532 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2825] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@844b67: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:41:15.532 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2826] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
17:41:22.583 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2826] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
17:41:22.583 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2826] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@113862d: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
17:41:22.584 [springCloudBus.anonymous.J0EtBidYTtWFljCmTJBnFg-2827] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
